employee_name,user_id,email,role,projects,business_unit,functional_unit,department,team,supervisor,start_date,end_date
Keith Vincent Ayers,KVA2944,Keith.Vincent.Ayers@dtaa.com,Salesman,,1,9 - SalesAndMarketing_Government,2 - Sales,4 - RegionalSales,Tanisha Chiquita Mullins,2009-12-01 00:00:00,2011-06-01
Sloane Francesca Campbell,SFC2336,Sloane.Francesca.Campbell@dtaa.com,Salesman,,1,9 - SalesAndMarketing_Government,2 - Sales,3 - RegionalSales,Adele Deirdre Guthrie,2009-12-01 00:00:00,2010-09-01
Chandler Dalton Bass,CDB2947,Chandler.Dalton.Bass@dtaa.com,Salesman,,1,9 - SalesAndMarketing_Government,2 - Sales,4 - RegionalSales,Tanisha Chiquita Mullins,2009-12-01 00:00:00,2011-06-01
Vaughan Channing Frazier,VCF3273,Vaughan.Channing.Frazier@dtaa.com,ProductionLineWorker,,1,5 - Manufacturing_Commercial,3 - Assembly,10 - AssemblyDept,Austin Joel Coleman,2009-12-01 00:00:00,2011-06-01
Karyn Martina Ramos,KMR2232,Karyn.Martina.Ramos@dtaa.com,ProductionLineWorker,,1,6 - Manufacturing_Government,3 - Assembly,6 - AssemblyDept,Drew Owen Coleman,2009-12-01 00:00:00,2011-06-01
Taylor Gretchen Phelps,TGP1343,Taylor.Gretchen.Phelps@dtaa.com,TestEngineer,Project 47,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,11 - TestAndEvalualtion,Hakeem Levi Mcgee,2009-12-01 00:00:00,2011-06-01
Octavia Madeson Meyer,OMM0835,Octavia.Madeson.Meyer@dtaa.com,Technician,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,6 - TestAndEvalualtion,Oprah Gail Webb,2009-12-01 00:00:00,2011-03-01
Martin Nissim Waller,MNW2267,Martin.Nissim.Waller@dtaa.com,Salesman,,1,8 - SalesAndMarketing_Commercial,2 - Sales,3 - RegionalSales,Gillian Nelle Holland,2009-12-01 00:00:00,2011-06-01
Tad Kirk Sheppard,TKS1549,Tad.Kirk.Sheppard@dtaa.com,StockroomClerk,,1,6 - Manufacturing_Government,3 - Assembly,3 - Stockroom,Brianna Ann Webster,2009-12-01 00:00:00,2011-06-01
Mikayla Madeline Emerson,MME3399,Mikayla.Madeline.Emerson@dtaa.com,Technician,,1,8 - SalesAndMarketing_Commercial,3 - FieldService,5 - RegionalFieldService,John Rahim Reynolds,2009-12-01 00:00:00,2011-06-01
Russell Philip Wheeler,RPW0026,Russell.Philip.Wheeler@dtaa.com,HumanResourceSpecialist,Project 26,1,1 - Adminstration,2 - EmployeeRelations,,Omar Galvin Doyle,2009-12-01 00:00:00,2010-02-01
Riley Jorden Hoover,RJH0219,Riley.Jorden.Hoover@dtaa.com,Scientist,,1,4 - ResearchAndEngineering_Government_Foreign,2 - Research,1 - Lab,Jonathan Laith Casey,2009-12-01 00:00:00,2011-06-01
Quincy Shad Mckee,QSM3147,Quincy.Shad.Mckee@dtaa.com,MechanicalEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,22 - MechanicalEngineering,Constance Justine Galloway,2009-12-01 00:00:00,2011-06-01
Laith Jordan Camacho,LJC3980,Laith.Jordan.Camacho@dtaa.com,ProductionLineWorker,,1,6 - Manufacturing_Government,3 - Assembly,14 - AssemblyDept,Hillary Zenaida Adkins,2009-12-01 00:00:00,2011-06-01
Vivian Dara Hardin,VDH0766,Vivian.Dara.Hardin@dtaa.com,SoftwareDeveloper,Project 82,1,4 - ResearchAndEngineering_Government_Foreign,3 - SoftwareManagement,4 - WebSoftware,Jared Price Johns,2009-12-01 00:00:00,2011-06-01
Jordan Hannah Booker,JHB0807,Jordan.Hannah.Booker@dtaa.com,ComputerScientist,Project 64,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,5 - SystemsEngineering,Jerry Reece Potts,2009-12-01 00:00:00,2010-02-01
Robert Aidan Sparks,RAS3446,Robert.Aidan.Sparks@dtaa.com,Technician,,1,9 - SalesAndMarketing_Government,3 - FieldService,5 - RegionalFieldService,Hedy Kristen Mcfadden,2009-12-01 00:00:00,2011-06-01
Josiah Dante Hebert,JDH0295,Josiah.Dante.Hebert@dtaa.com,MechanicalEngineer,,1,5 - Manufacturing_Commercial,2 - ManufacturingEngineering,,Palmer Marvin Gibbs,2009-12-01 00:00:00,2011-06-01
Bianca Rebecca Schultz,BRS0333,Bianca.Rebecca.Schultz@dtaa.com,Supervisor,,1,6 - Manufacturing_Government,3 - Assembly,1 - Stockroom,Stuart Zeph Barker,2009-12-01 00:00:00,2011-06-01
Price Eaton Cardenas,PEC0475,Price.Eaton.Cardenas@dtaa.com,Mathematician,,1,2 - ResearchAndEngineering_Commercial,2 - Research,1 - Lab,Basil Bruno Tyson,2009-12-01 00:00:00,2010-02-01
Beverly Lydia Baker,BLB1876,Beverly.Lydia.Baker@dtaa.com,ElectricalEngineer,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,15 - SystemsEngineering,Salvador Hu Patel,2009-12-01 00:00:00,2011-06-01
Joy Macey Vaughan,JMV0602,Joy.Macey.Vaughan@dtaa.com,SoftwareQualityEngineer,Project 51,1,3 - ResearchAndEngineering_Government_Domestic,3 - SoftwareManagement,1 - SQA,Ann Tamekah Daniels,2009-12-01 00:00:00,2011-06-01
Shad Drew Colon,SDC3561,Shad.Drew.Colon@dtaa.com,HardwareEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,25 - SystemsEngineering,Gage Yardley Hester,2009-12-01 00:00:00,2010-11-01
Xerxes Shea Ryan,XSR3526,Xerxes.Shea.Ryan@dtaa.com,SystemsEngineer,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,25 - SystemsEngineering,Quail Wilma Long,2009-12-01 00:00:00,2011-06-01
Baker William Galloway,BWG3220,Baker.William.Galloway@dtaa.com,ElectricalEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,23 - ElectricalEngineering,Driscoll Darius Lawrence,2009-12-01 00:00:00,2011-06-01
Virginia Nelle Heath,VNH1282,Virginia.Nelle.Heath@dtaa.com,ElectricalEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,8 - ElectricalEngineering,Megan Kalia Dawson,2009-12-01 00:00:00,2011-04-01
Sloane Jael Small,SJS1014,Sloane.Jael.Small@dtaa.com,ChiefEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,9 - MaterialsEngineering,Jason Amery Franco,2009-12-01 00:00:00,2011-06-01
Kamal Callum Morton,KCM3235,Kamal.Callum.Morton@dtaa.com,ComputerScientist,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,24 - SystemsEngineering,Oliver Brock Howe,2009-12-01 00:00:00,2011-06-01
Edward Amal Munoz,EAM1432,Edward.Amal.Munoz@dtaa.com,ElectricalEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,8 - ElectricalEngineering,Sarah Cleo Hubbard,2009-12-01 00:00:00,2011-06-01
Mia Lysandra Walls,MLW2240,Mia.Lysandra.Walls@dtaa.com,ProductionLineWorker,,1,6 - Manufacturing_Government,3 - Assembly,6 - AssemblyDept,Drew Owen Coleman,2009-12-01 00:00:00,2011-06-01
Wesley Erich Tyler,WET2108,Wesley.Erich.Tyler@dtaa.com,MaterialsEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,14 - MaterialsEngineering,Michelle Britanney Peters,2009-12-01 00:00:00,2011-06-01
Barrett Ulysses Shepherd,BUS1727,Barrett.Ulysses.Shepherd@dtaa.com,ChiefEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,13 - ElectricalEngineering,Jason Amery Franco,2009-12-01 00:00:00,2011-06-01
Walker Murphy Riddle,WMR2685,Walker.Murphy.Riddle@dtaa.com,SoftwareDeveloper,,1,4 - ResearchAndEngineering_Government_Foreign,3 - SoftwareManagement,10 - WebSoftware,Jermaine Carlos Smith,2009-12-01 00:00:00,2011-06-01
Colorado Hamish Benjamin,CHB0996,Colorado.Hamish.Benjamin@dtaa.com,ChiefEngineer,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,9 - MaterialsEngineering,Ursa Melinda Bentley,2009-12-01 00:00:00,2011-06-01
Rahim Kermit Herman,RKH2877,Rahim.Kermit.Herman@dtaa.com,Salesman,,1,8 - SalesAndMarketing_Commercial,2 - Sales,4 - RegionalSales,Heidi Cara Schmidt,2009-12-01 00:00:00,2011-06-01
Colin Benedict Roach,CBR2229,Colin.Benedict.Roach@dtaa.com,ProductionLineWorker,,1,6 - Manufacturing_Government,3 - Assembly,6 - AssemblyDept,Drew Owen Coleman,2009-12-01 00:00:00,2011-06-01
McKenzie Karen Waters,MKW0157,McKenzie.Karen.Waters@dtaa.com,SoftwareEngineer,Project 27,1,3 - ResearchAndEngineering_Government_Domestic,3 - SoftwareManagement,2 - DesktopSoftware,Hedy Ivana Pennington,2009-12-01 00:00:00,2011-06-01
Tad Jerome Bright,TJB0540,Tad.Jerome.Bright@dtaa.com,MechanicalEngineer,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,2 - MechanicalEngineering,Yardley Aidan Vang,2009-12-01 00:00:00,2011-06-01
Jenna Camilla Pacheco,JCP3883,Jenna.Camilla.Pacheco@dtaa.com,Physicist,,1,3 - ResearchAndEngineering_Government_Domestic,2 - Research,7 - Lab,Patrick Samuel Hutchinson,2009-12-01 00:00:00,2011-06-01
Joseph Clinton Conrad,JCC0059,Joseph.Clinton.Conrad@dtaa.com,ProjectManager,Project 88,1,2 - ResearchAndEngineering_Commercial,1 - ProjectManagement,,Nolan Isaiah Mason,2009-12-01 00:00:00,2011-01-01
Richard Cruz Frederick,RCF0044,Richard.Cruz.Frederick@dtaa.com,ITAdmin,,1,1 - Adminstration,5 - Security,2 - ElectronicSecurity,Carl Garrett Morgan,2009-12-01 00:00:00,2011-06-01
Karina Willa Rodgers,KWR1544,Karina.Willa.Rodgers@dtaa.com,StockroomClerk,,1,6 - Manufacturing_Government,3 - Assembly,3 - Stockroom,Brianna Ann Webster,2009-12-01 00:00:00,2011-06-01
Cullen Perry Mendoza,CPM1627,Cullen.Perry.Mendoza@dtaa.com,Technician,,1,8 - SalesAndMarketing_Commercial,3 - FieldService,2 - RegionalFieldService,Byron Elmo Buchanan,2009-12-01 00:00:00,2010-04-01
Henry Benedict Mcleod,HBM0676,Henry.Benedict.Mcleod@dtaa.com,ElectricalEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,3 - ElectricalEngineering,Xantha Imani Waters,2009-12-01 00:00:00,2011-06-01
Knox Dexter Nguyen,KDN0264,Knox.Dexter.Nguyen@dtaa.com,ElectricalEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,3 - ElectricalEngineering,Imani Leigh Hardy,2009-12-01 00:00:00,2011-06-01
Amir Garrett Marquez,AGM0133,Amir.Garrett.Marquez@dtaa.com,AdministrativeAssistant,,1,3 - ResearchAndEngineering_Government_Domestic,1 - ProjectManagement,,Samuel Ronan Shaw,2009-12-01 00:00:00,2011-06-01
Jared Price Johns,JPJ0227,Jared.Price.Johns@dtaa.com,Manager,Project 36,1,4 - ResearchAndEngineering_Government_Foreign,3 - SoftwareManagement,4 - WebSoftware,Aidan Ryder Bird,2009-12-01 00:00:00,2011-06-01
Jesse Cedric Robbins,JCR1148,Jesse.Cedric.Robbins@dtaa.com,ElectricalEngineer,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,8 - ElectricalEngineering,Colin Ignatius Hines,2009-12-01 00:00:00,2011-06-01
Jeanette Rhona Levine,JRL2365,Jeanette.Rhona.Levine@dtaa.com,Technician,,1,9 - SalesAndMarketing_Government,3 - FieldService,3 - RegionalFieldService,Rhea Lydia Stein,2009-12-01 00:00:00,2011-06-01
Daryl Ria Stout,DRS0032,Daryl.Ria.Stout@dtaa.com,NursePractitioner,,1,1 - Adminstration,4 - Safety,1 - Medical,James Linus Arnold,2009-12-01 00:00:00,2011-06-01
Risa Tasha Douglas,RTD0762,Risa.Tasha.Douglas@dtaa.com,ComputerProgrammer,Project 71,1,4 - ResearchAndEngineering_Government_Foreign,3 - SoftwareManagement,4 - WebSoftware,Jared Price Johns,2009-12-01 00:00:00,2011-06-01
Vernon Keaton Marquez,VKM2949,Vernon.Keaton.Marquez@dtaa.com,Salesman,,1,9 - SalesAndMarketing_Government,2 - Sales,4 - RegionalSales,Tanisha Chiquita Mullins,2009-12-01 00:00:00,2011-06-01
Keith Kelly Duran,KKD1980,Keith.Kelly.Duran@dtaa.com,MaterialsEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,14 - MaterialsEngineering,Yasir Davis Moore,2009-12-01 00:00:00,2011-06-01
Emmanuel Zeus Barlow,EZB3892,Emmanuel.Zeus.Barlow@dtaa.com,Physicist,,1,3 - ResearchAndEngineering_Government_Domestic,2 - Research,7 - Lab,Patrick Samuel Hutchinson,2009-12-01 00:00:00,2011-06-01
Imani Leigh Hardy,ILH0248,Imani.Leigh.Hardy@dtaa.com,ChiefEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,3 - ElectricalEngineering,Jason Amery Franco,2009-12-01 00:00:00,2011-06-01
Cooper Caleb Cohen,CCC0491,Cooper.Caleb.Cohen@dtaa.com,ComputerProgrammer,Project 2,1,2 - ResearchAndEngineering_Commercial,3 - SoftwareManagement,2 - DesktopSoftware,Yolanda Briar Joyner,2009-12-01 00:00:00,2011-06-01
Chase Wang Bullock,CWB1463,Chase.Wang.Bullock@dtaa.com,SystemsEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,10 - SystemsEngineering,Zenia Basia Whitley,2009-12-01 00:00:00,2011-06-01
Perry Kelly Booker,PKB2483,Perry.Kelly.Booker@dtaa.com,MechanicalEngineer,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,17 - MechanicalEngineering,Imogene Charde Hicks,2009-12-01 00:00:00,2011-06-01
Glenna Martha Young,GMY3938,Glenna.Martha.Young@dtaa.com,ProductionLineWorker,,1,5 - Manufacturing_Commercial,3 - Assembly,14 - AssemblyDept,Keegan Noah Riggs,2009-12-01 00:00:00,2011-01-01
Meghan Myra Raymond,MMR1435,Meghan.Myra.Raymond@dtaa.com,MaterialsEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,9 - MaterialsEngineering,Sloane Jael Small,2009-12-01 00:00:00,2011-06-01
Myra Chantale Witt,MCW3493,Myra.Chantale.Witt@dtaa.com,SecurityGuard,,1,1 - Adminstration,5 - Security,11 - BuildingSecurity,Idona Kathleen Herring,2009-12-01 00:00:00,2011-06-01
Lionel Cameron Sullivan,LCS3042,Lionel.Cameron.Sullivan@dtaa.com,ITAdmin,,1,1 - Adminstration,5 - Security,10 - ElectronicSecurity,Lois Rhonda Snow,2009-12-01 00:00:00,2011-06-01
Naida Dora Mercer,NDM2251,Naida.Dora.Mercer@dtaa.com,ProductionLineWorker,,1,6 - Manufacturing_Government,3 - Assembly,6 - AssemblyDept,Drew Owen Coleman,2009-12-01 00:00:00,2010-02-01
Russell Declan Walsh,RDW0957,Russell.Declan.Walsh@dtaa.com,Salesman,,1,9 - SalesAndMarketing_Government,2 - Sales,1 - RegionalSales,Whoopi Laurel Guy,2009-12-01 00:00:00,2011-06-01
Jenette Colette Copeland,JCC0736,Jenette.Colette.Copeland@dtaa.com,ComputerScientist,,1,4 - ResearchAndEngineering_Government_Foreign,3 - SoftwareManagement,2 - DesktopSoftware,Andrew Tobias Hoover,2009-12-01 00:00:00,2011-06-01
Guinevere Francesca Blankenship,GFB1385,Guinevere.Francesca.Blankenship@dtaa.com,ElectricalEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,3 - SoftwareManagement,6 - EmbeddedSoftware,Leah Kerry Stephenson,2009-12-01 00:00:00,2011-06-01
Todd Salvador Fisher,TSF3478,Todd.Salvador.Fisher@dtaa.com,ChiefEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,25 - SystemsEngineering,Jason Amery Franco,2009-12-01 00:00:00,2011-06-01
Lev Stuart Chaney,LSC3979,Lev.Stuart.Chaney@dtaa.com,ProductionLineWorker,,1,6 - Manufacturing_Government,3 - Assembly,14 - AssemblyDept,Hillary Zenaida Adkins,2009-12-01 00:00:00,2011-06-01
Robert Otto Allen,ROA3171,Robert.Otto.Allen@dtaa.com,SystemsEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,24 - SystemsEngineering,Malcolm Elton Battle,2009-12-01 00:00:00,2010-10-01
Drake Harding Rush,DHR2541,Drake.Harding.Rush@dtaa.com,Technician,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,21 - TestAndEvalualtion,Rebecca Stephanie Edwards,2009-12-01 00:00:00,2011-06-01
Lydia Colleen Ray,LCR1537,Lydia.Colleen.Ray@dtaa.com,StockroomClerk,,1,6 - Manufacturing_Government,3 - Assembly,3 - Stockroom,Brianna Ann Webster,2009-12-01 00:00:00,2011-06-01
Scarlett Quon Collins,SQC2334,Scarlett.Quon.Collins@dtaa.com,Salesman,,1,9 - SalesAndMarketing_Government,2 - Sales,3 - RegionalSales,Adele Deirdre Guthrie,2009-12-01 00:00:00,2011-06-01
Demetrius Kibo Weaver,DKW1659,Demetrius.Kibo.Weaver@dtaa.com,Salesman,,1,9 - SalesAndMarketing_Government,2 - Sales,2 - RegionalSales,Cheryl Brianna Aguirre,2009-12-01 00:00:00,2011-06-01
Eugenia Mollie Carpenter,EMC2757,Eugenia.Mollie.Carpenter@dtaa.com,Technician,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,21 - TestAndEvalualtion,Catherine Madonna Owen,2009-12-01 00:00:00,2011-06-01
Colorado Declan Mcclain,CDM0538,Colorado.Declan.Mcclain@dtaa.com,MechanicalEngineer,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,2 - MechanicalEngineering,Yardley Aidan Vang,2009-12-01 00:00:00,2011-06-01
Stacey Sasha Ashley,SSA0346,Stacey.Sasha.Ashley@dtaa.com,ProductionLineWorker,,1,6 - Manufacturing_Government,3 - Assembly,2 - AssemblyDept,Mona Jolene Frye,2009-12-01 00:00:00,2011-06-01
William Albert Rice,WAR1374,William.Albert.Rice@dtaa.com,ElectricalEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,3 - SoftwareManagement,6 - EmbeddedSoftware,Leah Kerry Stephenson,2009-12-01 00:00:00,2011-06-01
Audra Serina Hunt,ASH1710,Audra.Serina.Hunt@dtaa.com,ChiefEngineer,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,12 - MechanicalEngineering,Ursa Melinda Bentley,2009-12-01 00:00:00,2011-06-01
Byron Reed Mills,BRM0843,Byron.Reed.Mills@dtaa.com,StockroomClerk,,1,5 - Manufacturing_Commercial,3 - Assembly,1 - Stockroom,Hammett Zeus Hodge,2009-12-01 00:00:00,2011-06-01
Charity Holly Mcclure,CHM1561,Charity.Holly.Mcclure@dtaa.com,ProductionLineWorker,,1,6 - Manufacturing_Government,3 - Assembly,4 - AssemblyDept,Kennedy Beau Alvarez,2009-12-01 00:00:00,2011-06-01
Charde Alice Stevenson,CAS1702,Charde.Alice.Stevenson@dtaa.com,Technician,,1,9 - SalesAndMarketing_Government,3 - FieldService,2 - RegionalFieldService,Haley Madeline Thomas,2009-12-01 00:00:00,2011-06-01
Ruby Joelle Baldwin,RJB2622,Ruby.Joelle.Baldwin@dtaa.com,MaterialsEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,19 - MaterialsEngineering,Blair Otto Rich,2009-12-01 00:00:00,2011-06-01
Shannon Claire Cole,SCC1896,Shannon.Claire.Cole@dtaa.com,ElectricalEngineer,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,16 - TestAndEvalualtion,Nicole Jennifer Rosario,2009-12-01 00:00:00,2011-06-01
Deborah Serina Bryan,DSB0245,Deborah.Serina.Bryan@dtaa.com,AdministrativeAssistant,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,,Jason Amery Franco,2009-12-01 00:00:00,2011-06-01
Lilah Quynn Juarez,LQJ3060,Lilah.Quynn.Juarez@dtaa.com,Mathematician,,1,2 - ResearchAndEngineering_Commercial,2 - Research,5 - Lab,Zelda Zelenia Owens,2009-12-01 00:00:00,2011-06-01
Constance Justine Galloway,CJG3002,Constance.Justine.Galloway@dtaa.com,ChiefEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,22 - MechanicalEngineering,Zahir Byron Wells,2009-12-01 00:00:00,2011-06-01
Kai Kathleen Mcleod,KKM0624,Kai.Kathleen.Mcleod@dtaa.com,SoftwareDeveloper,Project 15,1,3 - ResearchAndEngineering_Government_Domestic,3 - SoftwareManagement,3 - EmbeddedSoftware,Jeanette Macey Simpson,2009-12-01 00:00:00,2011-06-01
Barry Sebastian Mendez,BSM2288,Barry.Sebastian.Mendez@dtaa.com,Technician,Project 15,1,8 - SalesAndMarketing_Commercial,3 - FieldService,3 - RegionalFieldService,Eric Macaulay Sanchez,2009-12-01 00:00:00,2011-06-01
Clarke Matthew Calhoun,CMC1642,Clarke.Matthew.Calhoun@dtaa.com,Technician,,1,8 - SalesAndMarketing_Commercial,3 - FieldService,2 - RegionalFieldService,Byron Elmo Buchanan,2009-12-01 00:00:00,2011-06-01
Aretha Aimee Daugherty,AAD2188,Aretha.Aimee.Daugherty@dtaa.com,ProductionLineWorker,,1,5 - Manufacturing_Commercial,3 - Assembly,6 - AssemblyDept,Zelda Idona Ross,2009-12-01 00:00:00,2011-06-01
Aiko Rebecca Frost,ARF0575,Aiko.Rebecca.Frost@dtaa.com,HardwareEngineer,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,5 - SystemsEngineering,Dora Aretha Macdonald,2009-12-01 00:00:00,2011-06-01
Gillian Nelle Holland,GNH1735,Gillian.Nelle.Holland@dtaa.com,Manager,Project 68,1,8 - SalesAndMarketing_Commercial,2 - Sales,3 - RegionalSales,Nathaniel Paul Klein,2009-12-01 00:00:00,2011-06-01
Nicholas Bruce Newton,NBN2651,Nicholas.Bruce.Newton@dtaa.com,ElectricalEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,21 - TestAndEvalualtion,Dillon Josiah Roy,2009-12-01 00:00:00,2011-06-01
Jacqueline Destiny Myers,JDM1042,Jacqueline.Destiny.Myers@dtaa.com,SecurityGuard,,1,1 - Adminstration,5 - Security,3 - BuildingSecurity,Octavia Iris Parrish,2009-12-01 00:00:00,2011-06-01
Ferris Kaden Rowe,FKR3316,Ferris.Kaden.Rowe@dtaa.com,StockroomClerk,,1,6 - Manufacturing_Government,3 - Assembly,9 - Stockroom,September Hanae Ward,2009-12-01 00:00:00,2011-06-01
Barrett Xavier Nicholson,BXN0660,Barrett.Xavier.Nicholson@dtaa.com,MechanicalEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,2 - MechanicalEngineering,Grace Jasmine Gamble,2009-12-01 00:00:00,2011-06-01
Simon Coby Reese,SCR0898,Simon.Coby.Reese@dtaa.com,ProductionLineWorker,,1,6 - Manufacturing_Government,3 - Assembly,2 - AssemblyDept,Mona Jolene Frye,2009-12-01 00:00:00,2011-06-01
Ahmed Lester Nguyen,ALN2046,Ahmed.Lester.Nguyen@dtaa.com,SoftwareDeveloper,Project 95,1,4 - ResearchAndEngineering_Government_Foreign,3 - SoftwareManagement,8 - DesktopSoftware,Cadman Colin Hewitt,2009-12-01 00:00:00,2011-06-01
Stephen Tanek Kirkland,STK2397,Stephen.Tanek.Kirkland@dtaa.com,Supervisor,,1,5 - Manufacturing_Commercial,3 - Assembly,7 - Stockroom,Maxwell Deacon Santana,2009-12-01 00:00:00,2011-06-01
Alexis Shaeleigh Mcleod,ASM3925,Alexis.Shaeleigh.Mcleod@dtaa.com,StockroomClerk,,1,5 - Manufacturing_Commercial,3 - Assembly,13 - Stockroom,Winter Adele Hahn,2009-12-01 00:00:00,2011-06-01
Jane Sarah Barron,JSB0320,Jane.Sarah.Barron@dtaa.com,Manager,Project 47,1,6 - Manufacturing_Government,2 - ManufacturingEngineering,,Aristotle Charles Hull,2009-12-01 00:00:00,2011-06-01
Keaton Bruno Vasquez,KBV1602,Keaton.Bruno.Vasquez@dtaa.com,Salesman,,1,8 - SalesAndMarketing_Commercial,2 - Sales,2 - RegionalSales,Troy Hayes Massey,2009-12-01 00:00:00,2011-06-01
Camilla Cameron Gill,CCG3254,Camilla.Cameron.Gill@dtaa.com,StockroomClerk,,1,5 - Manufacturing_Commercial,3 - Assembly,9 - Stockroom,Quincy Guy Shannon,2009-12-01 00:00:00,2011-06-01
Graham Harlan Thornton,GHT3177,Graham.Harlan.Thornton@dtaa.com,ElectricalEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,24 - SystemsEngineering,Malcolm Elton Battle,2009-12-01 00:00:00,2011-06-01
Vielka Rosalyn Jarvis,VRJ0636,Vielka.Rosalyn.Jarvis@dtaa.com,ComputerProgrammer,Project 87,1,3 - ResearchAndEngineering_Government_Domestic,3 - SoftwareManagement,4 - WebSoftware,Winifred Kelsie Garza,2009-12-01 00:00:00,2011-06-01
Sara Olivia Mckenzie,SOM2865,Sara.Olivia.Mckenzie@dtaa.com,ProductionLineWorker,,1,6 - Manufacturing_Government,3 - Assembly,8 - AssemblyDept,Demetria Sage Melendez,2009-12-01 00:00:00,2011-06-01
Benedict Christian Bauer,BCB2676,Benedict.Christian.Bauer@dtaa.com,Mathematician,,1,4 - ResearchAndEngineering_Government_Foreign,2 - Research,4 - Lab,Medge Roary Byers,2009-12-01 00:00:00,2011-06-01
Austin Griffin Branch,AGB3303,Austin.Griffin.Branch@dtaa.com,StockroomClerk,,1,6 - Manufacturing_Government,3 - Assembly,9 - Stockroom,September Hanae Ward,2009-12-01 00:00:00,2011-06-01
Bruno Knox Fox,BKF1545,Bruno.Knox.Fox@dtaa.com,StockroomClerk,,1,6 - Manufacturing_Government,3 - Assembly,3 - Stockroom,Brianna Ann Webster,2009-12-01 00:00:00,2011-06-01
Mufutau Keefe Orr,MKO0749,Mufutau.Keefe.Orr@dtaa.com,SoftwareDeveloper,Project 6,1,4 - ResearchAndEngineering_Government_Foreign,3 - SoftwareManagement,3 - EmbeddedSoftware,Grant Lamar Fulton,2009-12-01 00:00:00,2011-06-01
Madeline Ocean Sears,MOS0496,Madeline.Ocean.Sears@dtaa.com,ComputerProgrammer,,1,2 - ResearchAndEngineering_Commercial,3 - SoftwareManagement,2 - DesktopSoftware,Yolanda Briar Joyner,2009-12-01 00:00:00,2011-06-01
Judah Cole Gaines,JCG1982,Judah.Cole.Gaines@dtaa.com,MaterialsEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,14 - MaterialsEngineering,Yasir Davis Moore,2009-12-01 00:00:00,2011-06-01
Regina Risa Hampton,RRH3057,Regina.Risa.Hampton@dtaa.com,Physicist,,1,2 - ResearchAndEngineering_Commercial,2 - Research,5 - Lab,Zelda Zelenia Owens,2009-12-01 00:00:00,2011-06-01
Kareem Dante Fletcher,KDF0876,Kareem.Dante.Fletcher@dtaa.com,StockroomClerk,,1,6 - Manufacturing_Government,3 - Assembly,1 - Stockroom,Bianca Rebecca Schultz,2009-12-01 00:00:00,2011-06-01
Laurel Aurelia Houston,LAH0524,Laurel.Aurelia.Houston@dtaa.com,TechnicalWriter,Project 38,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,1 - Publications,Sonia Francesca Leblanc,2009-12-01 00:00:00,2011-06-01
